亻同	亻同 侗
人宅	人宅 侘
亻宅	亻宅 侘
人式	人式 侙
亻式	亻式 侙
人旬	人旬 侚
亻旬	亻旬 侚
人共	人共 供
亻共	亻共 供
人舟	人舟 侜
亻舟	亻舟 侜
人衣	人衣 依
亻衣	亻衣 依
人如	人如 侞
亻如	亻如 侞
人存	人存 侟
亻存	亻存 侟
人西	人西 価
亻西	亻西 価
人再	人再 侢
亻再	亻再 侢
人忘	人忘 侫
亻忘	亻忘 侫
人尽	人尽 侭
亻尽	亻尽 侭
人每	人每 侮
亻每	亻每 侮
人乛一矢	人乛一矢 侯
亻乛一矢	亻乛一矢 侯
人君	人君 侰
亻君	亻君 侰
人呈	人呈 侱
亻呈	亻呈 侱
人辰	人辰 侲
亻辰	亻辰 侲
人坐	人坐 侳
亻坐	亻坐 侳
人一丑刀	人一丑刀 侴
人一丑刂	人一丑刂 侴
人彐冖又	人彐冖又 侵
亻彐冖又	亻彐冖又 侵
人呂	人呂 侶
亻呂	亻呂 侶
人局	人局 侷
亻局	亻局 侷
人豆	人豆 侸
亻豆	亻豆 侸
人廷	人廷 侹
亻廷	亻廷 侹
人岑	人岑 侺
亻岑	亻岑 侺
人兌	人兌 侻
亻兌	亻兌 侻
人孛	人孛 侼
亻孛	亻孛 侼
人男	人男 侽
亻男	亻男 侽
人孝	人孝 侾
亻孝	亻孝 侾
人更	人更 便
亻更	亻更 便
人妥	人妥 俀
亻妥	亻妥 俀
人吳	人吳 俁
亻吳	亻吳 俁
人系	人系 係
亻系	亻系 係
人足	人足 促
亻足	亻足 促
人我	人我 俄
亻我	亻我 俄
人求	人求 俅
亻求	亻求 俅
人余	人余 俆
亻余	亻余 俆
人狂	人狂 俇
亻狂	亻狂 俇
人告	人告 俈
亻告	亻告 俈
人吾	人吾 俉
亻吾	亻吾 俉
人夋	人夋 俊
亻夋	亻夋 俊
人邑	人邑 俋
亻邑	亻邑 俋
人甫	人甫 俌
亻甫	亻甫 俌
人良	人良 俍
亻良	亻良 俍
人人且	人人且 俎
仌且	仌且 俎
人肖	人肖 俏
亻肖	亻肖 俏
人利	人利 俐
亻利	亻利 俐
人甬	人甬 俑
亻甬	亻甬 俑
人完	人完 俒
亻完	亻完 俒
人巠	人巠 俓
亻巠	亻巠 俓
人見	人見 俔
亻見	亻見 俔
人宋	人宋 俕
亻宋	亻宋 俕
人否	人否 俖
亻否	亻否 俖
人谷	人谷 俗
亻谷	亻谷 俗
人孚	人孚 俘
亻孚	亻孚 俘
人希	人希 俙
亻希	亻希 俙
人里	人里 俚
亻里	亻里 俚
人免	人免 俛
亻免	亻免 俛
人甹	人甹 俜
亻甹	亻甹 俜
人呆	人呆 保
亻呆	亻呆 保
人一月刀	人一月刀 俞
人一月刂	人一月刂 俞
人矣	人矣 俟
亻矣	亻矣 俟
人夾	人夾 俠
亻夾	亻夾 俠
人言	人言 信
亻言	亻言 信
人夕彡	人夕彡 俢
亻夂彡	亻夂彡 俢
人弟	人弟 俤
亻弟	亻弟 俤
人車	人車 俥
亻車	亻車 俥
攸彡	攸彡 修
人府	人府 俯
亻府	亻府 俯
人和	人和 俰
亻和	亻和 俰
人具	人具 俱
亻具	亻具 俱
人効	人効 俲
亻効	亻効 俲
人非	人非 俳
亻非	亻非 俳
人戔	人戔 俴
亻戔	亻戔 俴
人表	人表 俵
亻表	亻表 俵
人叔	人叔 俶
亻叔	亻叔 俶
人肥	人肥 俷
亻肥	亻肥 俷
人奉	人奉 俸
亻奉	亻奉 俸
人亞	人亞 俹
亻亞	亻亞 俹
人奄	人奄 俺
人备	人备 俻
亻备	亻备 俻
人育	人育 俼
亻育	亻育 俼
人欣	人欣 俽
亻欣	亻欣 俽
人卑	人卑 俾
亻卑	亻卑 俾
人虎	人虎 俿
亻虎	亻虎 俿
人長	人長 倀
亻長	亻長 倀
人知	人知 倁
亻知	亻知 倁
人幷	人幷 倂
亻幷	亻幷 倂
人咎	人咎 倃
亻咎	亻咎 倃
人肴	人肴 倄
亻肴	亻肴 倄
人卒	人卒 倅
亻卒	亻卒 倅
人兩	人兩 倆
亻兩	亻兩 倆
人宛	人宛 倇
亻宛	亻宛 倇
人來	人來 倈
亻來	亻來 倈
人尸一口	人尸一口 倉
人忩	人忩 倊
亻忩	亻忩 倊
人固	人固 個
亻固	亻固 個
人官	人官 倌
亻官	亻官 倌
人咅	人咅 倍
亻咅	亻咅 倍
人咅	人咅 倍
人立口	人立口 倍
人咅	人咅 倍
亻咅	亻咅 倍
人咅	人咅 倍
亻立口	亻立口 倍
人典	人典 倎
亻典	亻典 倎
攸犬	攸犬 倏
攸火	攸火 倐
人門	人門 們
亻門	亻門 們
人到	人到 倒
亻到	亻到 倒
人炎	人炎 倓
亻炎	亻炎 倓
人屈	人屈 倔
亻屈	亻屈 倔
人垂	人垂 倕
亻垂	亻垂 倕
人幸	人幸 倖
亻幸	亻幸 倖
人朋	人朋 倗
亻朋	亻朋 倗
人尚	人尚 倘
亻尚	亻尚 倘
人丨乛一矢	人丨乛一矢 候
亻丨乛一矢	亻丨乛一矢 候
人丨乛一矢	人丨乛一矢 候
侯丨	侯丨 候
人奇	人奇 倚
亻奇	亻奇 倚
人其	人其 倛
亻其	亻其 倛
人周	人周 倜
亻周	亻周 倜
十日十人	十日十人 倝
人京	人京 倞
亻京	亻京 倞
人昔	人昔 借
亻昔	亻昔 借
人隹	人隹 倠
亻隹	亻隹 倠
人昌	人昌 倡
亻昌	亻昌 倡
人疌	人疌 倢
亻疌	亻疌 倢
人放	人放 倣
亻放	亻放 倣
人直	人直 値
亻直	亻直 値
人空	人空 倥
亻空	亻空 倥
人卷	人卷 倦
亻卷	亻卷 倦
人宗	人宗 倧
亻宗	亻宗 倧
人居	人居 倨
亻居	亻居 倨
人青	人青 倩
亻青	亻青 倩
人兒	人兒 倪
亻兒	亻兒 倪
人侖	人侖 倫
亻侖	亻侖 倫
人卓	人卓 倬
亻卓	亻卓 倬
人委	人委 倭
亻委	亻委 倭
人果	人果 倮
亻果	亻果 倮
人松	人松 倯
亻松	亻松 倯
人夌	人夌 倰
亻夌	亻夌 倰
人昆	人昆 倱
亻昆	亻昆 倱
人東	人東 倲
亻東	亻東 倲
人事	人事 倳
亻事	亻事 倳
人奔	人奔 倴
亻奔	亻奔 倴
人武	人武 倵
亻武	亻武 倵
人具	人具 倶
亻具	亻具 倶
人奈	人奈 倷
亻奈	亻奈 倷
人采	人采 倸
亻采	亻采 倸
人人一口人	人人一口人 倹
亻人一口人	亻人一口人 倹
人耶	人耶 倻
亻耶	亻耶 倻
人直	人直 值
亻直	亻直 值
人舍	人舍 倽
亻舍	亻舍 倽
人英	人英 偀
亻英	亻英 偀
人爯	人爯 偁
亻爯	亻爯 偁
人前	人前 偂
亻前	亻前 偂
人匽	人匽 偃
亻匽	亻匽 偃
人匽	人匽 偃
人匚妟	人匚妟 偃
人匽	人匽 偃
亻匽	亻匽 偃
人匽	人匽 偃
亻匚妟	亻匚妟 偃
人匽	人匽 偃
亻匽	亻匽 偃
人匽	人匽 偃
人匚妟	人匚妟 偃
人匽	人匽 偃
亻匽	亻匽 偃
人匽	人匽 偃
人匚日女	人匚日女 偃
人匽	人匽 偃
亻匽	亻匽 偃
人匽	人匽 偃
人匚妟	人匚妟 偃
人匽	人匽 偃
亻匽	亻匽 偃
人匽	人匽 偃
亻匚妟	亻匚妟 偃
人匽	人匽 偃
亻匽	亻匽 偃
人匽	人匽 偃
人匚妟	人匚妟 偃
人匽	人匽 偃
亻匽	亻匽 偃
人匽	人匽 偃
亻匚日女	亻匚日女 偃
人耎	人耎 偄
亻耎	亻耎 偄
人重	人重 偅
亻重	亻重 偅
人春	人春 偆
亻春	亻春 偆
人叚	人叚 假
亻叚	亻叚 假
人曷	人曷 偈
亻曷	亻曷 偈
人韋	人韋 偉
亻韋	亻韋 偉
人禹	人禹 偊
亻禹	亻禹 偊
人屏	人屏 偋
亻屏	亻屏 偋
人若	人若 偌
亻若	亻若 偌
人是	人是 偍
亻是	亻是 偍
人畏	人畏 偎
亻畏	亻畏 偎
人扁	人扁 偏
亻扁	亻扁 偏
人彦	人彦 偐
亻彦	亻彦 偐
人風	人風 偑
亻風	亻風 偑
人易	人易 偒
亻易	亻易 偒
人屋	人屋 偓
亻屋	亻屋 偓
人咢	人咢 偔
亻咢	亻咢 偔
人皆	人皆 偕
亻皆	亻皆 偕
人者	人者 偖
亻者	亻者 偖
人省	人省 偗
亻省	亻省 偗
人品	人品 偘
亻品	亻品 偘
人帝	人帝 偙
亻帝	亻帝 偙
人故	人故 做
亻故	亻故 做
人臿	人臿 偛
亻臿	亻臿 偛
人亭	人亭 停
亻亭	亻亭 停
人背	人背 偝
亻背	亻背 偝
人枼	人枼 偞
亻枼	亻枼 偞
人皇	人皇 偟
亻皇	亻皇 偟
人要	人要 偠
亻要	亻要 偠
人甚	人甚 偡
亻甚	亻甚 偡
人秋	人秋 偢
亻秋	亻秋 偢
人音	人音 偣
亻音	亻音 偣
人酋	人酋 偤
亻酋	亻酋 偤
人建	人建 健
亻建	亻建 健
人女疋	人女疋 偦
亻女疋	亻女疋 偦
人大多	人大多 偧
亻大多	亻大多 偧
人大多	人大多 偧
人奓	人奓 偧
人大多	人大多 偧
亻大多	亻大多 偧
人大多	人大多 偧
亻奓	亻奓 偧
人奓	人奓 偨
亻奓	亻奓 偨
人負	人負 偩
亻負	亻負 偩
人畐	人畐 偪
亻畐	亻畐 偪
人待	人待 偫
